name,organization,homepage,logo,twitter,crunchbase_url,funding,member,relation,tag,license,headquarters,description,crunchbase_description,crunchbase_homepage,crunchbase_city,crunchbase_region,crunchbase_country,crunchbase_twitter,crunchbase_linkedin,crunchbase_ticker,crunchbase_kind,crunchbase_min_employees,crunchbase_max_employees,category,subcategory,oss,github_repo,github_stars,github_description,github_latest_commit_date,github_latest_commit_link,github_latest_release_date,github_latest_release_link,github_start_commit_date,github_start_commit_link,github_contributors_count,github_contributors_link,accepted,incubation,graduated,dev_stats_url,artwork_url,blog_url,mailing_list_url,slack_url,youtube_url,chat_channel,last_audit_date,last_audit_url
A2A (Agent2Agent Protocol),,https://github.com/a2aproject/A2A,logos/ac565d7c94111d4f7a645c73b3341207909ec15ce5b0cad7e0ae11265fb6a430.svg,,,,,,,,,"Ratified, broadly adopted agent interoperability protocols backed by multi-vendor implementations.",,,,,,,,,,,,Tools & Integrations,Standards / Ratified,,,,,,,,,,,,,,,,,,,,,,,,
Abacus Desktop,,https://desktop.abacus.ai/,logos/abb89fcf87323d23376be731607aa4ffde6e6e7fd9a5e71d9b2cd28a961c8f51.svg,,,,,,,,,Hosted remote desktop environments that agents drive via screen/keyboard/mouse — cloud VMs packaged as agent workspaces.,,,,,,,,,,,,Frameworks & Runtimes,Environments / Remote Desktops,,,,,,,,,,,,,,,,,,,,,,,,
Acme,,https://github.com/google-deepmind/acme,logos/5b966dea1c71b5bfaae253e9da637a2c730a4b7fe3d0c27ff3fbf8081abda870.svg,,,,,,,,,"RL frameworks, algorithms, and environments used to train or post-train agentic models.",,,,,,,,,,,,Models & Inference,Models / Reinforcement Learning,,,,,,,,,,,,,,,,,,,,,,,,
Acontext,,https://github.com/memodb-io/Acontext,logos/0967d82f64bd926d3295db8e43820da9b3aec12304f029ad4bea280d3ba205c3.svg,,,,,,,,,Reusable skill/procedure memories that agents can load to perform learned tasks on demand.,,,,,,,,,,,,"Context, Memory & Data",Memory / Skills,,,,,,,,,,,,,,,,,,,,,,,,
Activepieces,,https://github.com/activepieces/activepieces,logos/3b9f5ae913601031e042ee4b275290e1bd4d65d17ad182c43c2d412e5eebe741.svg,,,,,,,,,Open-source automation platforms offering a drag-and-drop graphical flow builder.,,,,,,,,,,,,Builders & Platforms,Automation / Open Source / GUI Based,,,,,,,,,,,,,,,,,,,,,,,,
AdalFlow,,https://github.com/SylphAI-Inc/AdalFlow,logos/3614c5f0924de2eac4a4ee9e7e232cb9db7dc850e92baa074a6763efd2e8ac70.svg,,,,,,,,,"Frameworks that automatically tune, rewrite, or compile prompts from higher-level program specifications.",,,,,,,,,,,,Dev Tools & Skills,Prompts / Prompt Optimisation & Compilation,,,,,,,,,,,,,,,,,,,,,,,,
Aegis,,https://github.com/Justin0504/Aegis,logos/49e6a620e08dbb0bde93efb78ead1c96610b65b3678dcf98437a3142c6871983.svg,,,,,,,,,"Runtime components that evaluate and enforce permission, safety, or governance policies on agent actions.",,,,,,,,,,,,Frameworks & Runtimes,Runtimes / Policy Engines,,,,,,,,,,,,,,,,,,,,,,,,
AG-UI (Agent User Interaction Protocol),,https://docs.ag-ui.com/introduction,logos/cc124bb9a07486726b9d10164e13e5fd5c668531730f846a9d595ec30d9c96c9.svg,,,,,,,,,"Ratified, broadly adopted agent interoperability protocols backed by multi-vendor implementations.",,,,,,,,,,,,Tools & Integrations,Standards / Ratified,,,,,,,,,,,,,,,,,,,,,,,,
agen.cy Marketplace,,https://marketplace.agen.cy/,logos/42128d06eaed78e4ee32ecb21f72e726500cec3a3ea5568ce50d47ee697e7000.svg,,,,,,,,,"Marketplaces where agents and their actions are listed, discovered, and transacted by other agents or humans.",,,,,,,,,,,,Tools & Integrations,Actions / Marketplaces,,,,,,,,,,,,,,,,,,,,,,,,
Agency Agents,,https://github.com/msitarzewski/agency-agents,logos/97a8c44c305f845000689fb7f235a291dde6744cd6feffa3ea22030957832cce.svg,,,,,,,,,Holding pen for items awaiting classification into the taxonomy.,,,,,,,,,,,,Ecosystem,Uncategorized,,,,,,,,,,,,,,,,,,,,,,,,
Agent Browser,,https://github.com/vercel-labs/agent-browser,logos/3b964fac3b3c80952d1ae83b0990e950ffe0af6a1056297b9da1414dbab6f238.svg,,,,,,,,,"Libraries and helpers layered on browser automation stacks to make them agent-friendly (DOM extraction, action planning).",,,,,,,,,,,,Tools & Integrations,Actions / Browser Tooling,,,,,,,,,,,,,,,,,,,,,,,,
Agent Deck,,https://github.com/asheshgoplani/agent-deck,logos/05ba33a9cc63071b357d5cfef8fe21f3a0a7733eb9afe48143b6f9eb1d93f08e.svg,,,,,,,,,Text-based interactive frontends combining terminal UIs with command-line invocation.,,,,,,,,,,,,Interfaces,Frontends / TUIs and CLIs,,,,,,,,,,,,,,,,,,,,,,,,
Agent Device,,https://github.com/callstackincubator/agent-device,logos/3614c5f0924de2eac4a4ee9e7e232cb9db7dc850e92baa074a6763efd2e8ac70.svg,,,,,,,,,Agent runtimes targeting Android handsets and tablets as the execution surface.,,,,,,,,,,,,Builders & Platforms,On Device Agents / Android,,,,,,,,,,,,,,,,,,,,,,,,
